Olho| Deslocamento| Tempo(s)
D 93.23644510199941 148.9110517501831
E 189.98725871643333 148.9123284816742
E 189.67525411225827 148.91242265701294
E 188.44609818809278 149.01891016960144
E 188.03742790939046 149.01902389526367
D 91.75208943030657 149.02035784721375
D 91.76564911333604 149.02045440673828
D 91.86447607625011 149.1343595981598
D 91.61806063964498 149.13443183898926
E 188.1550098332034 149.13561964035034
E 188.15743281426475 149.13570618629456
E 190.11410360620096 149.23817205429077
E 190.1270767917114 149.23828053474426
D 93.64875415455893 149.2393937110901
D 93.5714139539035 149.2394893169403
D 93.70008741808306 149.34740042686462
D 93.75219278584768 149.34748339653015
E 191.14335752130364 149.3490674495697
E 189.00285542900534 149.34918880462646
D 92.35466602718328 149.45298099517822
E 188.73053748903058 149.45424056053162
E 188.9393275438716 149.45432782173157
D 90.75356358717309 149.5688874721527
E 186.92712257391221 149.57017064094543
E 186.55221085141733 149.57024025917053
E 186.8893678372713 149.67992544174194
E 187.08414136856305 149.680025100708
D 91.14466149211329 149.6815152168274
E 187.981332743658 149.7900047302246
E 187.66297003625408 149.79008150100708
D 92.52121544179275 149.7912940979004
D 92.52121544179275 149.79136180877686
E 193.26275617116508 149.90031719207764
D 96.60914239373285 149.90167260169983
D 96.89151526510815 149.90178322792053
E 186.1221906592685 150.01176714897156
E 185.51431583502264 150.0118579864502
D 90.74450854803113 150.01310777664185
D 90.73718649877483 150.0131938457489
E 192.4001334346208 150.2248194217682
D 92.57904371864936 151.3238081932068
D 92.40830837715285 151.32390666007996
E 190.00919619269285 151.32521891593933
E 189.4741408364661 151.32532620429993
D 95.49076158924933 151.4409589767456
E 189.66035989374532 151.44233107566833
E 189.60721902656942 151.44240999221802
D 89.09517768517173 151.54434156417847
D 89.54584416664687 151.54447197914124
E 186.44945887400868 151.5458459854126
E 185.62982359134796 151.54591989517212
E 183.89679377231963 151.65515804290771
D 87.27647461555541 151.65634512901306
D 87.28610955747031 151.6564085483551
D 92.09794400009518 151.75915575027466
D 92.4925550949159 151.75922417640686
E 187.92735810999545 151.76038193702698
E 188.01201946183352 151.89611411094666
E 187.3129994010565 151.89624881744385
D 92.49080689803793 151.89969778060913
D 92.27826534765124 151.89982414245605
D 98.09106821680776 152.00689387321472
D 97.8401303922271 152.00698018074036
E 191.7226551508918 152.00849294662476
E 191.4943325958686 152.00858855247498
E 191.0230832611783 152.12485718727112
E 190.87783259401525 152.12497520446777
D 94.18897820118468 152.1263656616211
D 94.69636289456197 152.12645149230957
E 186.9768415636354 152.24411845207214
E 186.5709196803781 152.24424529075623
D 91.24098585386469 152.24566006660461
D 91.84928099962758 152.24575901031494
D 90.19742247523158 152.35048604011536
D 90.52492204982094 152.3506054878235
D 90.4635181369851 152.4546937942505
D 90.83008631161452 152.4548101425171
D 88.37700976118208 152.54581212997437
D 88.97494961896244 152.54588389396667
E 186.4364395521804 152.5470016002655
E 185.83285904585432 152.54709196090698
D 92.424164182368 152.6701226234436
E 189.17678397783126 152.67178463935852
E 188.5945583730359 152.67189002037048
D 89.42707270396836 152.77834272384644
E 186.24402856163505 152.77949857711792
E 186.16046809186037 152.77962040901184
D 88.68316599991063 152.87392950057983
E 186.48080114465944 152.87498903274536
E 186.05573229921424 152.87505459785461
E 188.1389179283323 153.02380776405334
E 187.75668557303166 153.02390933036804
D 90.87354633797155 153.12229895591736
E 187.15932948864173 153.1235294342041
E 187.07990325398444 153.1236298084259
D 100.4323275109629 153.21256017684937
D 92.34472005319856 153.3050811290741
D 92.63767496147906 153.30520796775818
E 190.08593260947012 153.30673599243164
E 189.92416070511615 153.30683422088623
D 97.25630647974256 153.41792178153992
E 193.0666781147429 153.4191026687622
E 193.11812183407446 153.41919136047363
E 190.48098934568876 153.53062629699707
E 190.4505505967141 153.53074598312378
D 99.65816894362231 153.64351558685303
D 100.09530327962288 153.64360690116882
E 195.2134546767557 153.6447639465332
E 194.85743752694876 153.64485383033752
E 193.44483072384168 153.75688314437866
E 193.45916880744457 153.75695991516113
D 97.8085983700985 153.75821495056152
D 98.18980316360664 153.75828385353088
D 93.1843739860704 153.85553789138794
D 93.44983944436925 153.8556525707245
E 187.13603997453464 153.85732674598694
E 187.01734246199783 153.8574254512787
D 90.06718051775198 153.96930027008057
D 90.46598453832974 153.96944451332092
E 187.89944837235865 153.970844745636
E 187.79006178360416 153.97093319892883
D 99.72458727030617 154.0751974582672
D 99.85193369307545 154.07526969909668
E 192.7293640454218 154.07678842544556
E 192.51078635481346 154.07686471939087
E 193.43795681323962 154.1915843486786
E 192.99771679981976 154.19165563583374
D 99.79156414562569 154.1928744316101
D 96.45671135398948 154.3109791278839
D 96.7362932720343 154.31110334396362
E 191.36872910139007 154.31257343292236
E 190.9952604945458 154.31268429756165
E 195.30480945376712 154.4128041267395
E 195.269444589738 154.41289854049683
D 99.77358834520604 154.4140510559082
D 100.21815179224095 154.41415762901306
E 193.20248172094495 154.51901245117188
E 193.18048372121243 154.51910662651062
D 98.02624664201038 154.5203080177307
D 98.54756783776206 154.5203983783722
D 93.72122545709237 154.63441586494446
D 93.68958278761853 154.6345443725586
E 189.38027440385898 154.63659691810608
E 188.5535245531887 154.63666987419128
D 102.05365793368699 154.74256420135498
E 198.12542050874941 154.85218048095703
E 195.26587707712739 154.95894074440002
D 93.36909559438276 155.40368580818176
D 93.63605806607035 155.40375876426697
D 88.78585867817041 155.50564098358154
E 191.32479251839587 155.62173557281494
D 95.25510403198673 155.73383212089539
D 92.21922569032839 155.9483506679535
D 92.24328762851003 155.94845008850098
D 87.28603961506926 156.0645306110382
D 87.08481973965003 156.0646300315857
E 194.8176063779785 156.1708538532257
E 192.46473642664893 156.17093539237976
D 95.52098168889152 156.3908245563507
D 95.93792225997046 156.3908989429474
E 191.9008944175047 156.5007381439209
D 92.93316279406567 156.50176334381104
D 92.89427285917378 156.5018322467804
D 94.07370480099839 156.61229538917542
D 92.99861383837596 156.72350573539734
D 93.3360845907596 156.72361493110657
D 92.3643734648237 156.82791566848755
D 91.13676230120663 156.94453835487366
D 93.09690328397933 157.04784107208252
D 93.49759327775216 157.0479199886322
E 190.17026687409862 157.049085855484
E 195.48999673426698 157.161071062088
E 195.0749052412012 157.16114902496338
D 97.27590370519644 157.1624674797058
D 97.81684095748216 157.16253781318665
E 189.73907874601164 157.38202691078186
E 189.48144576968718 157.38210439682007
D 94.07775982490475 157.38314366340637
D 94.11696906550998 157.38321042060852
E 192.61952839668888 157.49142599105835
E 194.340284452479 157.49150443077087
D 87.73163780964916 157.6067774295807
D 87.0101936211771 157.60685276985168
E 189.81430893039544 157.71067643165588
E 183.4809523628808 157.81738591194153
E 190.87689866710164 157.93498015403748
E 190.43166739937683 157.93509340286255
E 188.32471084798513 158.04590487480164
E 178.45850254350776 158.37148880958557
E 180.3561389365034 158.48356914520264
E 180.10303409491945 158.4836564064026
E 199.64013386521077 158.92565059661865
E 198.2856790357532 158.92573165893555
E 194.42081858395844 159.147075176239
E 194.82744012240377 159.58349418640137
D 96.419285654262 159.58488488197327
D 96.80615394316533 159.58497595787048
E 195.31898337007456 159.68832159042358
D 98.13182737046533 159.68928837776184
D 98.95051518836867 159.92045426368713
E 196.37695182364175 159.9216012954712
E 195.11406803993813 160.0208854675293
E 194.7473874640336 160.02100038528442
D 96.35006987156783 160.02222967147827
D 100.03748854867385 160.13479614257812
D 100.57569938170629 160.13489627838135
E 190.7892428308078 160.24514985084534
D 98.42191400313281 160.36325573921204
E 195.72082168170957 160.36454033851624
